,Title,Authors,Years
369,A Tale of The Children's Crusade: Free Country,Neil Gaiman,2015
370,"First Warning: Acorna's Children (Acorna, #8)",Anne McCaffrey,2005
371,All God's Children,Fox Butterfield,1995
372,"Children of Exile (Children of Exile, #1)",Margaret Peterson Haddix,2016
373,Miss Peregrine's Journal for Peculiar Children,Ransom Riggs,-1
374,Dark Dream’s Temptation (The Children of the Gods #26),I.T. Lucas,-1
375,"My Dark Amazon (The Children of the Gods, #6.5)",I.T. Lucas,2016
376,Troublemakers: Lessons in Freedom from Young Children at School,Carla Shalaby,-1
377,"The Grave Robbers Of Genghis Khan (Children Of The Lamp, #7)",P.B. Kerr,2011
378,"Teach Your Children Well: Why Values and Coping Skills Matter More Than Grades, Trophies, or ""Fat Envelopes""",Madeline Levine,2012
379,The Burgess Bird Book for Children,Thornton W. Burgess,1919
380,"Children of the Lens (Lensman, #6)","E.E. ""Doc"" Smith",1947
381,The Burgess Bird Book for Children,Thornton W. Burgess,1919
382,"Teach Your Children Well: Why Values and Coping Skills Matter More Than Grades, Trophies, or ""Fat Envelopes""",Madeline Levine,2012
383,"Children of Fire (The Chaos Born, #1)",Drew Karpyshyn,2013
384,"Bus Station Mystery (The Boxcar Children, #18)",Gertrude Chandler Warner,1974
385,"Aristotle's Children: How Christians, Muslims, and Jews Rediscovered Ancient Wisdom and Illuminated the Middle Ages",Richard E. Rubenstein,2003
386,"The Haunted Cabin Mystery (The Boxcar Children, #20)",Gertrude Chandler Warner,1991
387,"Beyond Ender's Game: Speaker for the Dead, Xenocide, Children of the Mind (Ender's Saga, #2-4)",Orson Scott Card,2001
388,Hitler's Forgotten Children: My Life Inside The Lebensborn,Ingrid Von Oelhafen,2015
389,"Vicious Minds (Children of Vice, #4)",J.J. McAvoy,2019
390,Children of the River,Linda Crew,1989
391,Raising White Kids: Bringing Up Children in a Racially Unjust America,Jennifer Harvey,2018
392,Children in the Woods: Exploring the Spirit Realm,Erik Knockaert,-1
393,Children of the Alley,Naguib Mahfouz,1959
394,Dark Dream’s Unraveling (The Children of the Gods #27),I.T. Lucas,-1
395,"Mona Lisa Darkening (Monère: Children of the Moon, #4)",Sunny,2008
396,Totto-chan's Children: A Goodwill Journey to the Children of the World,Tetsuko Kuroyanagi,1997
397,"Dark Dream’s Trap (The Children Of The Gods, #28)",I.T. Lucas,-1
398,No Longer a Slumdog: Bringing Hope to Children in Crisis,K.P. Yohannan,2011
399,The Wouldbegoods (Bastable Children #2),E. Nesbit,1901
400,"The Night Children (Escape from Furnace, #0.5)",Alexander Gordon Smith,2011
401,Dark Prince's Enigma (The Children of the Gods #29),I.T. Lucas,-1
402,"""Multiplication Is for White People"": Raising Expectations for Other People's Children",Lisa Delpit,2011
403,Children of the River,Linda Crew,1989
404,"Second Wave: Acorna's Children (Acorna, #9)",Anne McCaffrey,2006
405,Children of the Ash-Covered Loam,N.V.M. Gonzalez,1992
406,Asperger's Children: The Origins of Autism in Nazi Vienna,Edith Sheffer,2018
407,Babar and His Children,Jean de Brunhoff,1938
408,Trapped in the Mirror: Adult Children of Narcissists in Their Struggle for Self,Elan Golomb,1992
409,You Are Your Child's First Teacher: What Parents Can Do with and for Their Children from Birth to Age Six,Rahima Baldwin Dancy,1989
410,"Winter Be My Shield (Children of the Black Sun, #1)",Jo Spurrier,2012
411,"Mindstorms: Children, Computers, And Powerful Ideas",Seymour Papert,1980
412,"My Inappropriate Life: Some Material Not Suitable for Small Children, Nuns, or Mature Adults",Heather  McDonald,2013
413,A Guide for Murdered Children,Sarah  Sparrow,2018
414,"DNA (Children's House, #1)",Yrsa Sigurðardóttir,2014
415,Other People's Children,Joanna Trollope,1998
416,"The Explosive Child: A New Approach for Understanding and Parenting Easily Frustrated, Chronically Inflexible Children",Ross W. Greene,1998
417,The Ruskin Bond Children's Omnibus,Ruskin Bond,1995
418,The Shadow Children: Among the Hidden; Among the Impostors,Margaret Peterson Haddix,2009
419,Children of a Lesser God,Mark Medoff,1980
420,"Exultant (Destiny's Children, #2)",Stephen Baxter,2004
421,"Nighthawks (Children of Nostradamus, #1)",Jeremy Flagg,2016
422,Dark Prince's Dilemma (The Children of the Gods #30),I.T. Lucas,-1
423,My Allosaur Has Lost His Roar - Childrens Picture Book,Elwyn Tate,-1
424,Sneak Peek - Children of Blood and Bone,Tomi Adeyemi,-1
425,Dark Prince's Agenda (The Children Of The Gods #31),I.T. Lucas,-1
426,"The Boxcar Children 5-8 (The Boxcar Children, #5-8)",Gertrude Chandler Warner,1990
427,Heaven's Harlots: My Fifteen Years as a Sacred Prostitute in the Children of God Cult,Miriam Williams,1998
428,"The Lost Children (Detective Lucy Harwin, #1)",Helen Phifer,2017
429,Four Children and It,Jacqueline Wilson,2012
430,"Third Watch: Acorna's Children (Acorna, #10)",Anne McCaffrey,2007
431,"The Mystery of the Singing Ghost (The Boxcar Children, #31)",Gertrude Chandler Warner,1992
432,The House Children,Heidi Daniele,2019
433,The Children,David Halberstam,1998
434,The Sweet Potato Queens' Guide to Raising Children for Fun and Profit,Jill Conner Browne,2007
435,Turning Stones: My Days and Nights with Children at Risk,Marc Parent,1996
436,"Clan of the Cave Bear, The Valley of Horses, The Mammoth Hunters (Earth's Children, #1-3)",Jean M. Auel,1986
437,"Night's Master (Children of The Night, #3)",Amanda Ashley,2008
438,"Night's Pleasure (Children of The Night, #4)",Amanda Ashley,2009
439,"This Is How We Do It: One Day in the Lives of Seven Kids from around the World (Easy Reader Books, Children Around the World Books, Preschool Prep Books)",Matt LaMothe,2017
440,"Night's Pleasure (Children of The Night, #4)",Amanda Ashley,2009
441,"I Survived the Children’s Blizzard, 1888 (I Survived, #16)",Lauren Tarshis,2018
442,How Toddlers Thrive: What Parents Can Do Today for Children Ages 2-5 to Plant the Seeds of Lifelong Success,Tovah P. Klein,2014
443,"How to Read a Story: (Illustrated Children's Book, Picture Book for Kids, Read Aloud Kindergarten Books)",Kate Messner,2015
444,"The Deserted Library Mystery (The Boxcar Children, #21)",Gertrude Chandler Warner,1991
445,"The Heirs of Earth (Children of Earthrise, #1)",Daniel Arenson,-1
446,The Children of Hypnos,Francesca Zappia,-1
447,"The Pizza Mystery (The Boxcar Children, #33)",Gertrude Chandler Warner,1993
448,Hekla's Children,James Brogden,2017
449,"10 Mindful Minutes: Giving Our Children--and Ourselves--the Social and Emotional Skills to Reduce Stress and Anxiety for Healthier, Happy Lives",Goldie Hawn,2011
450,Children of Amarid (Lon Tobyn Chronicle #1),David B. Coe,1997
451,Children of Na,A.L. Burgess Jr.,2014
452,"Consumed - How Markets Corrupt Children, Infantilize Adults & Swallow Citizens Whole",Benjamin R. Barber,2007
453,Circle Round: Raising Children in Goddess Traditions,Anne  Hill,1998
454,"Regina in the Sun (Children of the Goddess, #1)",R.G. Alexander,2008
455,Miss Peregrine's Home for Peculiar Children Sampler,Ransom Riggs,-1
456,Prospero's Children,Jan Siegel,1999
457,"The Children of the Moon (The Girl In Between, #3)",Laekan Zea Kemp,-1
458,Monsters Eat Whiny Children,Bruce Eric Kaplan,2010
459,Beatrix Potter's Gardening Life: The Plants and Places That Inspired the Classic Children's Tales,Marta McDowell,2013
460,"Torpedoed: The True Story of the World War II Sinking of ""The Children's Ship""",Deborah Heiligman,2019
461,"The Ark (Children of a Dead Earth, #1)",Patrick S. Tomlinson,2015
462,Dark Queen’s Quest (The Children Of The Gods #32),I.T. Lucas,-1
463,"Children of Paranoia (Children of Paranoia, #1)",Trevor Shane,2011
464,Monsters Eat Whiny Children,Bruce Eric Kaplan,2010
465,"Transcendent (Destiny's Children, #3)",Stephen Baxter,2005
466,"The Animal Shelter Mystery (The Boxcar Children, #22)",Gertrude Chandler Warner,1991
467,Where Children Sleep,James Mollison,2010
468,"The Mystery of the Hidden Painting (The Boxcar Children, #24)",Gertrude Chandler Warner,1992
469,"The Missing Children (DI Kayli Bright Trilogy, #1)",M.A. Comley,-1
470,"Children of War (Bruno, Chief of Police #7)",Martin  Walker,2014
471,The Lost Children (Detective Superintendent Ray Paterson #2),Steve    Parker,2018
472,"Dark Queen’s Knight (The Children Of The Gods, 33)",I.T. Lucas,-1
473,"Across the Green Grass Fields (Wayward Children, #6)",Seanan McGuire,-1
474,"Teaching Kids to Think: Raising Confident, Independent, and Thoughtful Children in an Age of Instant Gratification",Darlene Sweetland,2015
475,"The Amusement Park Mystery (The Boxcar Children, #25)",Gertrude Chandler Warner,1992
476,The Children of the King,Sonya Hartnett,2012
477,"Suffer Little Children (Sister Fidelma, #3)",Peter Tremayne,1995
478,Children of the Forest,Elsa Beskow,1910
479,The Night Before Christmas and Other Popular Stories For Children,Clement C. Moore,2007
480,The Lost Children,Carolyn Cohagan,2010
481,The X-Files: Earth Children are Weird,Jason Rekulak,2017
482,Children of Paradise: The Struggle for the Soul of Iran,Laura Secor,2015
483,Books For Kids: The Lucky Puppy: Bedtime Stories For Kids Ages 3-8 (Kids Books - Bedtime Stories For Kids - Children's Books - Free Stories),Mike Grylls,2015
484,Greek Myths For Young Children (Usborne Gift Book),Heather Amery,1999
485,The Children of Old Leech: A Tribute to the Carnivorous Cosmos of Laird Barron,Ross E. Lockhart,2014
486,Dune Messiah & Children Of Dune,Frank Herbert,1983
487,The Children's Homer: The Adventures of Odysseus and the Tale of Troy,Padraic Colum,1918
488,If You Want To Be Rich & Happy Don't Go To School: Insuring Lifetime Security for Yourself and Your Children,Robert T. Kiyosaki,1992
489,"Goddess’s Hope (The Children Of The Gods Origins, #2)",I.T. Lucas,2018
490,"The Scribbly Man (Children of D'Hara, #1)",Terry Goodkind,2019
491,Let the Children March,Monica Clark-Robinson,2018
492,Global Babies,Global Fund for Children,2007
493,"The Old Motel Mystery (The Boxcar Children, #23)",Gertrude Chandler Warner,1991
494,"Children Are from Heaven: Positive Parenting Skills for Raising Cooperative, Confident, and Compassionate Children",John Gray,2000
495,"Twilight Prophecy (Wings in the Night, #17; Children of Twilight, #1)",Maggie Shayne,2011
496,"Power of Play: How Spontaneous, Imaginative Activities Lead to Happier, Healthier Children",David Elkind,2006
497,"Dark Queen’s Army (The Children Of The Gods, #34)",I.T. Lucas,-1
498,Teaching Your Children Values,Linda Eyre,1993
499,Endangered Minds: Why Children Don’t Think and What We Can Do About It,Jane M. Healy,1990
500,The Daisy Children,Sofia Grant,2018
501,Children of the Dust Bowl: The True Story of the School at Weedpatch Camp,Jerry Stanley,2014
502,Game On Boys! The Play Station Play-offs: A Hilarious adventure for children 9-12 with illustrations,Kate  Cullen,2014
503,Parenting with Love and Logic: Teaching Children Responsibility,Foster W. Cline,1990
504,"The Schools Our Children Deserve: Moving Beyond Traditional Classrooms and ""Tougher Standards""",Alfie Kohn,1999
505,The Dreamkeepers: Successful Teachers of African American Children,Gloria Ladson-Billings,1993
506,"Dark Queen’s Army (The Children Of The Gods, #34)",I.T. Lucas,-1
507,"The Chocolate Sundae Mystery (The Boxcar Children, #46)",Gertrude Chandler Warner,1995
508,Riddance: Or the Sybil Joines Vocational School for Ghost Speakers & Hearing-Mouth Children,Shelley Jackson,2018
509,The Orchid and the Dandelion: Why Some Children Struggle and How All Can Thrive,W. Thomas Boyce,-1
510,"The Mystery of the Stolen Boxcar (The Boxcar Children, #49)",Gertrude Chandler Warner,1995
511,Wild Things! Acts of Mischief in Children's Literature,Betsy Bird,2014
512,"Dark Spy Conscripted (The Children Of The Gods, #35)",I.T. Lucas,-1
513,Children: The Challenge,Rudolf Dreikurs,1964
514,Children To The Slaughter (Slaughter #1),A.I. Nasser,2016
515,Children's Songbook,The Church of Jesus Christ of Latter-day Saints,1989
516,"Children of the Serpent Gate (Tears of Artamon, #3)",Sarah Ash,2005
517,"Mona Lisa Eclipsing  (Monère: Children of the Moon, #5)",Sunny,2011
518,Just Wait Till You Have Children of Your Own!,Erma Bombeck,1971
519,Through the Children's Gate: A Home in New York,Adam Gopnik,2006
520,Life Before Life: A Scientific Investigation of Children's Memories of Previous Lives,Jim B. Tucker,2005
521,Charles Dickens' Children Stories,Charles Dickens,1900
522,The Seven Spiritual Laws for Parents: Guiding Your Children to Success and Fulfillment,Deepak Chopra,1997
523,The Children Who Time Lost,Marvin Amazon,2013
524,"Renegade Children (Renegade Star, #8)",J.N. Chaney,-1
525,Garden of the Lost and Abandoned: The Extraordinary Story of One Ordinary Woman and the Children She Saves,Jessica Yu,2017
526,"Why You Should Read Children's Books, Even Though You Are So Old and Wise",Katherine Rundell,2019
527,"The Four-Gated City (Children of Violence, #5)",Doris Lessing,1969
528,Artist to Artist: 23 Major Illustrators Talk to Children about Their Art,Eric Carle,2007
529,"Children of Scarabaeus (Scarabaeus, #2)",Sara Creasy,2011
530,Born in the USA: How a Broken Maternity System Must Be Fixed to Put Women and Children First,Marsden Wagner,2006
531,"The Excellent 11: Qualities Teachers and Parents Use to Motivate, Inspire, and Educate Children",Ron Clark,2004
532,"The Castle Mystery (The Boxcar Children, #36)",Gertrude Chandler Warner,1993
533,Children of the Matrix,David Icke,2001
534,The Power of Positive Parenting: A Wonderful Way to Raise Children,Glenn I. Latham,1994
535,"The Children of Hamlin (Star Trek: The Next Generation, #3)",Carmen Carter,1988
536,Children of Dust: A Memoir of Pakistan,Ali Eteraz,2009
537,Uprising (Children of the Gods #2),Jessica Therrien,2013
538,The Children's Story,James Clavell,1981
539,Balderdash!: John Newbery and the Boisterous Birth of Children's Books,Michelle Markel,2017
540,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker,2001
541,The Lost Children of Wilder: The Epic Struggle to Change Foster Care,Nina Bernstein,2001
542,Balderdash!: John Newbery and the Boisterous Birth of Children's Books,Michelle Markel,2017
543,Strangers and Sojourners (Children of the Last Days #1),Michael D. O'Brien,1997
544,Dark Spy’s Resolution (The Children Of The Gods Paranormal Romance Series Book 37),I.T. Lucas,-1
545,Dark Stranger: The Children Of The Gods,I.T. Lucas,-1
546,The Children's Train: Escape on the Kindertransport,Jana Zinser,2015
547,Supernanny: How to Get the Best from Your Children,Jo Frost,2005
548,The Belial Children (Belial #5),R.D. Brady,2014
549,"Titanborn (Children of Titan, #1)",Rhett C. Bruno,2016
550,Parents Who Killed Their Children: Filicide,R.J. Parker,2014
551,"Where Children Run (Pischke Twins, #1)",Karen Emilson,1996
552,"The Children of the Company (The Company, #6)",Kage Baker,2005
553,"Dark Spy’s Mission (The Children Of The Gods, #36)",I.T. Lucas,-1
554,"The Waterborn (Children of the Changeling, #1)",Greg Keyes,1996
555,Bambi's Children,Felix Salten,1939
556,Harmful to Minors: The Perils of Protecting Children from Sex,Judith Levine,2002
557,Funny Jokes: 100+ Knock Knock Jokes for Children: Kids Jokes - Knock Knock Jokes - Jokes for Kids,Johnny B. Laughing,2014
558,The Children of Cherry Tree Farm,Enid Blyton,1940
559,Too Small to Ignore: Why Children Are the Next Big Thing,Wess Stafford,2005
560,"Born to Buy: A Groundbreaking Exposé of a Marketing Culture That Makes Children ""Believe They  Are  What They  Own.""",Juliet B. Schor,2004
561,"Sea Fever (Children of the Sea, #2)",Virginia Kantra,2008
562,"All God's Children (Peacemakers, #1)",Anna   Schmidt,2013
563,A Family of Readers: The Book Lover's Guide to Children's and Young Adult Literature,Roger Sutton,2010
564,Planting Seeds: Practicing Mindfulness with Children,Thich Nhat Hanh,2011
565,By the Lake of Sleeping Children,Luis Alberto Urrea,1996
566,Don't Juggle Bees! And Other Useless Advice For Silly Children,Gerald Hawksley,2011
